Time, EnergyGeneration, StorageCapacity
2022/1/25/14/4, 3478.336, 15000.0
2022/1/25/15/4, 3343.768, 15000.0
2022/1/25/16/4, 3503.408, 15000.0
2022/1/25/17/4, 3837.492, 15000.0
2022/1/25/18/4, 4012.555, 15000.0
2022/1/25/19/4, 4068.537, 15000.0
2022/1/25/20/4, 3949.671, 15000.0
2022/1/25/21/4, 4006.287, 15000.0
2022/1/25/22/4, 3875.794, 15000.0
2022/1/25/23/4, 3831.954, 15000.0
2022/1/25/24/4, 3684.46, 15000.0
2022/1/26/1/4, 3500.688, 15000.0
2022/1/26/2/4, 3475.417, 15000.0
2022/1/26/3/4, 3213.369, 15000.0
2022/1/26/4/4, 2938.417, 15000.0
